113,710
116,412
120,644
126,211-4
127,636
128,421
130,329
130,534
132,201
133,426
138,454
140,234
145,750
201,132
203,330
204,535
205,422
205,536
206,635
208,540
211,211-1
212,727
216,814
223,340
226,433
233,744
234,140
234,234-1
236,523
238,622
243,531
234-4,518
211-4,126
321,614
322,612
329,534
329,130
330,203
331,423
333,633
339,734
223,340
350,817
352,P552
411,713
412,116
421,128
422,205
422,536
423,331
426,133
428,628
432,736
433,226
518,234-4
523,236
525,138
529,626
531,243
534,130
534,329
535,204
536,205
536,422
537,634
540,208
544,725
547,811
548,P549
P552,352
612,322
614,321
622,238
626,529
628,428
633,333
634,537
635,206
636,127
644,120
645,717
710,113
713,411
717,645
725,544
727,212
734,339
736,432
744,233
750,145
811,547
814,215
817,350
