529,5,공덕,0.8
530,5,애오개,1.1
531,5,충정로(경기대입구),0.9
532,5,서대문,0.7
533,5,광화문(세종문화회관),1.1
534,5,종로3가(탑골공원),1.2
535,5,을지로4가,1
536,5,동대문역사문화공원,0.9
537,5,청구,0.9
538,5,신금호,0.9
539,5,행당,0.8
540,5,왕십리(성동구청),0.9
541,5,마장,0.7
542,5,답십리,1
543,5,장한평,1.2
544,5,군자(능동),1.5
545,5,아차산(어린이대공원후문),1
546,5,광나루(장신대),1.5
547,5,천호(풍납토성),2
548,5,강동,0.8
549,5,길동,0.9
550,5,굽은다리(강동구민회관앞),0.8
551,5,명일,0.7
552,5,고덕,1.2
553,5,상일동,1.1
P549,5,둔촌동,1.2
P550,5,올림픽공원(한국체대),1.4
P551,5,방이,0.9
P552,5,오금,0.9
P553,5,개롱,0.9
P554,5,거여,0.9
P555,5,마천,0.9
610,6,응암,1.5
611,6,역촌,1.1
612,6,불광,0.8
613,6,독바위,0.9
614,6,연신내,1.4
615,6,구산,0.9
616,6,새절(신사),0.9
617,6,증산(명지대앞),0.9
618,6,디지털미디어시티,1.1
619,6,월드컵경기장(성산),0.8
620,6,마포구청,0.8
621,6,망원,1
622,6,합정,0.8
623,6,상수,0.8
624,6,광흥창(서강),0.9
625,6,대흥(서강대앞),1
626,6,공덕,0.9
627,6,효창공원앞,0.9
628,6,삼각지,1.2
629,6,녹사평(용산구청),1.1
630,6,이태원,0.8
631,6,한강진,1
632,6,버티고개,1
633,6,약수,0.7
634,6,청구,0.8
635,6,신당,0.7
636,6,동묘앞,0.6
637,6,창신,0.9
638,6,보문,0.8
639,6,안암(고대병원앞),0.9
640,6,고려대(종암),0.8
641,6,월곡(동덕여대),1.4
642,6,상월곡(한국과학기술연구원),0.8
643,6,돌곶이,0.8
644,6,석계,1
645,6,태릉입구,0.8
646,6,화랑대(서울여대입구),0.9
647,6,봉화산(서울의료원),0.7
709,7,장암,0
710,7,도봉산,1.4
711,7,수락산,1.6
712,7,마들,1.4
713,7,노원,1.2
714,7,중계,1.1
715,7,하계,1
716,7,공릉(서울과학기술대),1.3
717,7,태릉입구,0.8
718,7,먹골,0.9
719,7,중화,0.9
720,7,상봉(시외버스터미널),1
721,7,면목,0.8
722,7,사가정,0.9
723,7,용마산,0.8
724,7,중곡,0.9
725,7,군자(능동),1.1
726,7,어린이대공원(세종대),1.1
727,7,건대입구,0.8
728,7,뚝섬유원지,1
729,7,청담,2
730,7,강남구청,1.1
731,7,학동,0.9
732,7,논현,1
733,7,반포,0.9
734,7,고속터미널,0.9
735,7,내방,2.2
736,7,이수,1
737,7,남성,1
738,7,숭실대입구(살피재),2
739,7,상도,0.9
740,7,장승배기,0.9
741,7,신대방삼거리,1.2
742,7,보라매,0.8
743,7,신풍,0.9
744,7,대림(구로구청),1.4
745,7,남구로,1.1
746,7,가산디지털단지,0.8
747,7,철산,1.4
748,7,광명사거리,1.3
749,7,천왕,1.7
750,7,온수(성공회대입구),1.5
751,7,까치울,2.2
752,7,부천종합운동장,1.2
753,7,춘의,0.9
754,7,신중동,1
755,7,부천시청,1.1
756,7,상동,0.9
757,7,삼산체육관,1.1
758,7,굴포천,0.9
759,7,부평구청,0.9
810,8,암사,0
811,8,천호(풍납토성),1.3
812,8,강동구청,0.9
813,8,몽촌토성(평화의문),1.6
814,8,잠실(송파구청),0.8
815,8,석촌,1.2
816,8,송파,0.9
817,8,가락시장,0.8
818,8,문정,0.9
819,8,장지,0.9
820,8,복정,0.9
821,8,산성,2.7
822,8,남한산성입구(성남법원검찰청),1.3
823,8,단대오거리,0.8
824,8,신흥,0.8
825,8,수진,0.9
826,8,모란,1
